Year,Publisher,Games,Sales,Json
1980,Activision,5,3.02,"{'Publisher':'Activision','Games':5,'Sales':3.02},"
1980,Atari,4,8.36,"{'Publisher':'Atari','Games':4,'Sales':8.36},"
1981,20th Century Fox Video Games,3,1.35,"{'Publisher':'20th Century Fox Video Games','Games':3,'Sales':1.35},"
1981,Activision,6,8.5,"{'Publisher':'Activision','Games':6,'Sales':8.5},"
1981,Atari,11,8.45,"{'Publisher':'Atari','Games':11,'Sales':8.45},"
1981,Coleco,4,2.79,"{'Publisher':'Coleco','Games':4,'Sales':2.79},"
1981,Data Age,1,0.39,"{'Publisher':'Data Age','Games':1,'Sales':0.39},"
1981,Imagic,4,4.82,"{'Publisher':'Imagic','Games':4,'Sales':4.82},"
1981,Mattel Interactive,7,2.53,"{'Publisher':'Mattel Interactive','Games':7,'Sales':2.53},"
1981,Men-A-Vision,1,0.77,"{'Publisher':'Men-A-Vision','Games':1,'Sales':0.77},"
1981,Mystique,1,0.82,"{'Publisher':'Mystique','Games':1,'Sales':0.82},"
1981,Parker Bros.,3,3.35,"{'Publisher':'Parker Bros.','Games':3,'Sales':3.35},"
1981,Starpath Corp.,1,0.33,"{'Publisher':'Starpath Corp.','Games':1,'Sales':0.33},"
1981,Taito,1,0.24,"{'Publisher':'Taito','Games':1,'Sales':0.24},"
1981,Tigervision,2,1.14,"{'Publisher':'Tigervision','Games':2,'Sales':1.14},"
1981,Unknown,1,0.29,"{'Publisher':'Unknown','Games':1,'Sales':0.29},"
1982,20th Century Fox Video Games,2,0.59,"{'Publisher':'20th Century Fox Video Games','Games':2,'Sales':0.59},"
1982,Activision,4,1.86,"{'Publisher':'Activision','Games':4,'Sales':1.86},"
1982,Answer Software,1,0.5,"{'Publisher':'Answer Software','Games':1,'Sales':0.5},"
1982,Atari,14,19.43,"{'Publisher':'Atari','Games':14,'Sales':19.43},"
1982,Avalon Interactive,1,0.17,"{'Publisher':'Avalon Interactive','Games':1,'Sales':0.17},"
1982,Bomb,1,0.22,"{'Publisher':'Bomb','Games':1,'Sales':0.22},"
1982,CBS Electronics,1,0.31,"{'Publisher':'CBS Electronics','Games':1,'Sales':0.31},"
1982,Coleco,1,0.27,"{'Publisher':'Coleco','Games':1,'Sales':0.27},"
1982,CPG Products,1,0.54,"{'Publisher':'CPG Products','Games':1,'Sales':0.54},"
1982,Data Age,1,0.32,"{'Publisher':'Data Age','Games':1,'Sales':0.32},"
1982,ITT Family Games,1,0.34,"{'Publisher':'ITT Family Games','Games':1,'Sales':0.34},"
1982,Mattel Interactive,1,0.39,"{'Publisher':'Mattel Interactive','Games':1,'Sales':0.39},"
1982,Parker Bros.,2,1.12,"{'Publisher':'Parker Bros.','Games':2,'Sales':1.12},"
1982,Quelle,1,0.87,"{'Publisher':'Quelle','Games':1,'Sales':0.87},"
1982,Sega,1,0.4,"{'Publisher':'Sega','Games':1,'Sales':0.4},"
1982,Tigervision,1,0.28,"{'Publisher':'Tigervision','Games':1,'Sales':0.28},"
1982,Universal Gamex,1,0.63,"{'Publisher':'Universal Gamex','Games':1,'Sales':0.63},"
1982,Wizard Video Games,1,0.62,"{'Publisher':'Wizard Video Games','Games':1,'Sales':0.62},"
1983,Activision,3,1.94,"{'Publisher':'Activision','Games':3,'Sales':1.94},"
1983,Atari,6,3.39,"{'Publisher':'Atari','Games':6,'Sales':3.39},"
1983,Nintendo,6,10.96,"{'Publisher':'Nintendo','Games':6,'Sales':10.96},"
1983,Parker Bros.,2,0.5,"{'Publisher':'Parker Bros.','Games':2,'Sales':0.5},"
1984,Activision,1,0.27,"{'Publisher':'Activision','Games':1,'Sales':0.27},"
1984,Hudson Soft,1,1.1,"{'Publisher':'Hudson Soft','Games':1,'Sales':1.1},"
1984,Namco Bandai Games,3,3.43,"{'Publisher':'Namco Bandai Games','Games':3,'Sales':3.43},"
1984,Nintendo,9,45.56,"{'Publisher':'Nintendo','Games':9,'Sales':45.56},"
1985,Activision,2,0.48,"{'Publisher':'Activision','Games':2,'Sales':0.48},"
1985,Capcom,1,1,"{'Publisher':'Capcom','Games':1,'Sales':1},"
1985,Hudson Soft,1,1.03,"{'Publisher':'Hudson Soft','Games':1,'Sales':1.03},"
1985,Mycom,1,0.02,"{'Publisher':'Mycom','Games':1,'Sales':0.02},"
1985,Namco Bandai Games,2,1.46,"{'Publisher':'Namco Bandai Games','Games':2,'Sales':1.46},"
1985,Nintendo,7,49.95,"{'Publisher':'Nintendo','Games':7,'Sales':49.95},"
1986,Atari,2,0.66,"{'Publisher':'Atari','Games':2,'Sales':0.66},"
1986,Capcom,3,5.3,"{'Publisher':'Capcom','Games':3,'Sales':5.3},"
1986,Hudson Soft,4,4.66,"{'Publisher':'Hudson Soft','Games':4,'Sales':4.66},"
1986,Konami Digital Entertainment,4,4.99,"{'Publisher':'Konami Digital Entertainment','Games':4,'Sales':4.99},"
1986,Namco Bandai Games,2,5.28,"{'Publisher':'Namco Bandai Games','Games':2,'Sales':5.28},"
1986,Nintendo,6,16.18,"{'Publisher':'Nintendo','Games':6,'Sales':16.18},"
1987,Activision,2,1.12,"{'Publisher':'Activision','Games':2,'Sales':1.12},"
1987,Atari,4,0.86,"{'Publisher':'Atari','Games':4,'Sales':0.86},"
1987,Capcom,1,0.81,"{'Publisher':'Capcom','Games':1,'Sales':0.81},"
1987,Enix Corporation,1,2.56,"{'Publisher':'Enix Corporation','Games':1,'Sales':2.56},"
1987,Konami Digital Entertainment,1,0.93,"{'Publisher':'Konami Digital Entertainment','Games':1,'Sales':0.93},"
1987,Namco Bandai Games,2,2.67,"{'Publisher':'Namco Bandai Games','Games':2,'Sales':2.67},"
1987,Nintendo,4,11.95,"{'Publisher':'Nintendo','Games':4,'Sales':11.95},"
1987,SquareSoft,1,0.84,"{'Publisher':'SquareSoft','Games':1,'Sales':0.84},"
1988,Activision,2,0.75,"{'Publisher':'Activision','Games':2,'Sales':0.75},"
1988,Capcom,2,2.94,"{'Publisher':'Capcom','Games':2,'Sales':2.94},"
1988,Enix Corporation,1,3.87,"{'Publisher':'Enix Corporation','Games':1,'Sales':3.87},"
1988,Maxis,1,0.03,"{'Publisher':'Maxis','Games':1,'Sales':0.03},"
1988,Namco Bandai Games,2,2.43,"{'Publisher':'Namco Bandai Games','Games':2,'Sales':2.43},"
1988,Nintendo,6,36.44,"{'Publisher':'Nintendo','Games':6,'Sales':36.44},"
1988,SquareSoft,1,0.76,"{'Publisher':'SquareSoft','Games':1,'Sales':0.76},"
1989,Activision,1,0.47,"{'Publisher':'Activision','Games':1,'Sales':0.47},"
1989,Atari,1,0.15,"{'Publisher':'Atari','Games':1,'Sales':0.15},"
1989,Capcom,1,1.67,"{'Publisher':'Capcom','Games':1,'Sales':1.67},"
1989,HAL Laboratory,1,0.06,"{'Publisher':'HAL Laboratory','Games':1,'Sales':0.06},"
1989,Konami Digital Entertainment,1,0.85,"{'Publisher':'Konami Digital Entertainment','Games':1,'Sales':0.85},"
1989,Namco Bandai Games,1,1.1,"{'Publisher':'Namco Bandai Games','Games':1,'Sales':1.1},"
1989,Nintendo,9,63.88,"{'Publisher':'Nintendo','Games':9,'Sales':63.88},"
1989,Palcom,1,4.17,"{'Publisher':'Palcom','Games':1,'Sales':4.17},"
1989,SquareSoft,1,1.1,"{'Publisher':'SquareSoft','Games':1,'Sales':1.1},"
1990,Capcom,3,3.92,"{'Publisher':'Capcom','Games':3,'Sales':3.92},"
1990,Enix Corporation,1,3.12,"{'Publisher':'Enix Corporation','Games':1,'Sales':3.12},"
1990,Konami Digital Entertainment,1,2.23,"{'Publisher':'Konami Digital Entertainment','Games':1,'Sales':2.23},"
1990,Namco Bandai Games,2,0.63,"{'Publisher':'Namco Bandai Games','Games':2,'Sales':0.63},"
1990,Nintendo,7,35.49,"{'Publisher':'Nintendo','Games':7,'Sales':35.49},"
1990,Sega,1,2.6,"{'Publisher':'Sega','Games':1,'Sales':2.6},"
1990,SquareSoft,1,1.4,"{'Publisher':'SquareSoft','Games':1,'Sales':1.4},"
1991,Angel Studios,1,0.29,"{'Publisher':'Angel Studios','Games':1,'Sales':0.29},"
1991,Banpresto,2,0.51,"{'Publisher':'Banpresto','Games':2,'Sales':0.51},"
1991,BPS,1,0.32,"{'Publisher':'BPS','Games':1,'Sales':0.32},"
1991,Capcom,3,2.23,"{'Publisher':'Capcom','Games':3,'Sales':2.23},"
1991,Culture Brain,1,0.2,"{'Publisher':'Culture Brain','Games':1,'Sales':0.2},"
1991,Epoch,1,0.08,"{'Publisher':'Epoch','Games':1,'Sales':0.08},"
1991,Hudson Soft,1,0.44,"{'Publisher':'Hudson Soft','Games':1,'Sales':0.44},"
1991,Human Entertainment,1,0.39,"{'Publisher':'Human Entertainment','Games':1,'Sales':0.39},"
1991,Imagineer,3,0.38,"{'Publisher':'Imagineer','Games':3,'Sales':0.38},"
1991,Kemco,1,0.05,"{'Publisher':'Kemco','Games':1,'Sales':0.05},"
1991,Konami Digital Entertainment,4,2.56,"{'Publisher':'Konami Digital Entertainment','Games':4,'Sales':2.56},"
1991,Namco Bandai Games,3,1.03,"{'Publisher':'Namco Bandai Games','Games':3,'Sales':1.03},"
1991,Nintendo,13,15.97,"{'Publisher':'Nintendo','Games':13,'Sales':15.97},"
1991,Sega,1,4.34,"{'Publisher':'Sega','Games':1,'Sales':4.34},"
1991,Square,1,1.77,"{'Publisher':'Square','Games':1,'Sales':1.77},"
1991,SquareSoft,2,1.14,"{'Publisher':'SquareSoft','Games':2,'Sales':1.14},"
1991,Tecmo Koei,2,0.53,"{'Publisher':'Tecmo Koei','Games':2,'Sales':0.53},"
1992,Arena Entertainment,2,4.72,"{'Publisher':'Arena Entertainment','Games':2,'Sales':4.72},"
1992,Banpresto,1,0.16,"{'Publisher':'Banpresto','Games':1,'Sales':0.16},"
1992,Capcom,4,12.4,"{'Publisher':'Capcom','Games':4,'Sales':12.4},"
1992,ChunSoft,1,0.16,"{'Publisher':'ChunSoft','Games':1,'Sales':0.16},"
1992,Electronic Arts,1,0.06,"{'Publisher':'Electronic Arts','Games':1,'Sales':0.06},"
1992,Enix Corporation,1,2.79,"{'Publisher':'Enix Corporation','Games':1,'Sales':2.79},"
1992,Epoch,1,0.07,"{'Publisher':'Epoch','Games':1,'Sales':0.07},"
1992,Hudson Soft,2,0.79,"{'Publisher':'Hudson Soft','Games':2,'Sales':0.79},"
1992,id Software,1,0.03,"{'Publisher':'id Software','Games':1,'Sales':0.03},"
1992,Konami Digital Entertainment,3,0.26,"{'Publisher':'Konami Digital Entertainment','Games':3,'Sales':0.26},"
1992,Maxis,1,2.14,"{'Publisher':'Maxis','Games':1,'Sales':2.14},"
1992,Namco Bandai Games,2,1.04,"{'Publisher':'Namco Bandai Games','Games':2,'Sales':1.04},"
1992,New World Computing,1,0.01,"{'Publisher':'New World Computing','Games':1,'Sales':0.01},"
1992,Nintendo,10,38.11,"{'Publisher':'Nintendo','Games':10,'Sales':38.11},"
1992,Ocean,1,0.28,"{'Publisher':'Ocean','Games':1,'Sales':0.28},"
1992,Sega,5,7.98,"{'Publisher':'Sega','Games':5,'Sales':7.98},"
1992,SquareSoft,2,3.42,"{'Publisher':'SquareSoft','Games':2,'Sales':3.42},"
